annotTriples	annotCost	estimatedAcc	MoE	lowerBound	upperBound			
292	5.215277778	0.746575342	0.049976156	0.696599186	0.796551499	FALSE	FALSE	FALSE
304	5.386111111	0.730263158	0.049973136	0.680290022	0.780236294	FALSE	FALSE	FALSE
218	3.951388889	0.830275229	0.049946134	0.780329095	0.880221364	FALSE	FALSE	FALSE
276	4.954166667	0.768115942	0.049880475	0.718235467	0.817996417	FALSE	FALSE	FALSE
288	5.0375	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
259	4.636111111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
288	5.2375	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
301	5.515277778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
274	4.940277778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
251	4.505555556	0.796812749	0.049877474	0.746935275	0.846690223	FALSE	FALSE	FALSE
295	5.273611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
286	5.261111111	0.755244755	0.049915511	0.705329244	0.805160266	FALSE	FALSE	FALSE
297	5.35	0.740740741	0.049923209	0.690817532	0.790663949	FALSE	FALSE	FALSE
259	4.661111111	0.787644788	0.049903948	0.73774084	0.837548735	FALSE	FALSE	FALSE
294	5.166666667	0.744897959	0.049913686	0.694984274	0.794811645	FALSE	FALSE	FALSE
263	4.638888889	0.783269962	0.049889912	0.73338005	0.833159874	FALSE	FALSE	FALSE
249	4.454166667	0.799196787	0.049857953	0.749338834	0.84905474	FALSE	FALSE	FALSE
238	4.190277778	0.81092437	0.049851918	0.761072452	0.860776288	FALSE	FALSE	FALSE
268	4.848611111	0.776119403	0.049999419	0.726119984	0.826118822	FALSE	FALSE	FALSE
320	5.759722222	0.70625	0.049982839	0.656267161	0.756232839	FALSE	FALSE	FALSE
276	4.954166667	0.768115942	0.049880475	0.718235467	0.817996417	FALSE	FALSE	FALSE
295	5.273611111	0.742372881	0.049989784	0.692383097	0.792362666	FALSE	FALSE	FALSE
240	4.304166667	0.808333333	0.049901969	0.758431365	0.858235302	FALSE	FALSE	FALSE
307	5.456944444	0.726384365	0.049950642	0.676433723	0.776335007	FALSE	FALSE	FALSE
298	5.319444444	0.738255034	0.049993351	0.688261683	0.788248384	FALSE	FALSE	FALSE
283	5.152777778	0.759717314	0.049866718	0.709850596	0.809584033	FALSE	FALSE	FALSE
300	5.370833333	0.736666667	0.049923029	0.686743638	0.786589695	FALSE	FALSE	FALSE
301	5.315277778	0.734219269	0.049987578	0.684231691	0.784206848	FALSE	FALSE	FALSE
274	4.827777778	0.770072993	0.049914613	0.72015838	0.819987606	FALSE	FALSE	FALSE
300	5.483333333	0.736666667	0.049923029	0.686743638	0.786589695	FALSE	FALSE	FALSE
288	5.1875	0.753472222	0.049862459	0.703609763	0.803334682	FALSE	FALSE	FALSE
263	4.613888889	0.783269962	0.049889912	0.73338005	0.833159874	FALSE	FALSE	FALSE
281	5.101388889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
281	4.926388889	0.761565836	0.049912238	0.711653598	0.811478074	FALSE	FALSE	FALSE
261	4.6125	0.785440613	0.049899001	0.735541612	0.835339614	FALSE	FALSE	FALSE
330	5.854166667	0.690909091	0.049934846	0.640974245	0.740843937	FALSE	FALSE	FALSE
240	4.404166667	0.808333333	0.049901969	0.758431365	0.858235302	FALSE	FALSE	FALSE
310	5.627777778	0.722580645	0.049920668	0.672659977	0.772501314	FALSE	FALSE	FALSE
292	5.365277778	0.746575342	0.049976156	0.696599186	0.796551499	FALSE	FALSE	FALSE
263	4.713888889	0.783269962	0.049889912	0.73338005	0.833159874	FALSE	FALSE	FALSE
